model_name,accuracy,precision,recall,f1,roc_auc,train_time_s,inference_ms_per_msg,true_negatives,false_positives,false_negatives,true_positives
Multinomial Naive Bayes,0.9704035874439462,1.0,0.7785234899328859,0.8754716981132076,0.9881716620117554,0.0023532500490546227,0.00019495525802464762,966,0,33,116
Linear SVM,0.9829596412556054,0.9577464788732394,0.912751677852349,0.9347079037800687,0.9886475745827948,0.015455499989911914,0.00014495513832088008,960,6,13,136
Logistic Regression,0.9748878923766816,0.8954248366013072,0.9194630872483222,0.9072847682119205,0.9862054830686287,0.02691420796327293,0.00011984304829830546,950,16,12,137
